key,chinese,english,remark
record3,匿名者（男性）：2012年，第31次药品试验记录。药品-0018仍有问题，白鼠受验体出现不同程度的体征混乱，即使治愈，遗传基因也会出现异变，子世代出现畸形、发育不良等问题。建议，应退回实验室开发阶段，重新进行化合物优化，中断临床试验一期。,Anonymous (male): The 31st drug trial record in 2012. There are still problems with drug-0018， and the white rats tested show various degrees of confusion in their signs.Even if cured， genetic mutation occurs. The offspring generation showed deformities and dysplasia. It is recommended that the drug should be returned to the laboratory development stage， compound optimization should be re-executed and clinical trial phase I should be interrupted.,
record4,匿名者A：我听老一辈说，人活到一定年龄最怕的就是死。一旦得了什么病，什么办法都没有。我还这么年轻，这种病也还没有治疗的手段，就算有风险也想试试。\n匿名者B：那您事先清楚药物的风险性吗？\n匿名者A：他们的协议说是绝对安全的，我开始也看见了希望。但是后来，大约一个月后，发生了极为恐怖的事情……,Anonymous A: I heard the older generation say that the most fearful thing for people is death. Once the disease is acquired， there is nothing to do. I am still such a young person and there is no treatment for this disease yet， so I want to try it even if it is risky.\nAnonymous B: Did you know the risks of the drug beforehand?\nAnonymous A: Their protocol said it was absolutely safe， and I saw hope at first. But then， about a month later， something extremely horrible happened ......,
piece01,记忆碎片#1,MemoryPiece#1,
piece02,记忆碎片#2,MemoryPiece#2,
piece03,记忆碎片#3,MemoryPiece#3,
piece04,记忆碎片#4,MemoryPiece#4,
piece05,记忆碎片#5,MemoryPiece#5,
piece06,记忆碎片#6,MemoryPiece#6,
piece07,记忆碎片#7,MemoryPiece#7,
piece08,记忆碎片#8,MemoryPiece#8,
piece01_info,医生的话让我很难过。被我牵连的那些患者的脸，那些无辜的死者，一直在我眼前回闪。我哪里也不想去，打车回家已经是晚上9点了，只想早点休息。,no tanslation yet,
piece02_info,服药的剂量再次增加了。从一日一次增加到一日三次，每次花花绿绿的药丸倒在我的手心，我都在颤抖。我明显感觉到死神的迫近，尽管死神只是一个虚无缥缈的概念。在死亡之前，我还有事情要做。我还有事情……要做……,no tanslation yet,
piece03_info,父亲已经不在我们身边很多年了。他收藏了很多洋酒，但他滴酒不沾。大家都在传，他失意之后开始酗酒。但在我模糊的记忆中，他的神志一直是清醒的。我最后一次见到父亲是个深夜，那天晚上似乎还有工作，他急匆匆地回家拿走了什么东西，眼底布满了血丝。他似乎想开口说什么，最后只是沉默地招手让我过来，摸了摸我的头。,no tanslation yet,
piece04_info,医生判断我有严重的药物依赖性，到了不服药就无法安稳入眠的程度。我感觉黑暗中总有一双眼睛，在监视着我。我没有地方可以逃，这里的一切都不是安全的。医生说那是精神过于紧张产生的幻觉，她的眼神就像在看一个被害妄想。我知道那不是幻觉，绝对不是。有谁在看着我。,no tanslation yet,
piece05_info,我不知道那种恶心的感觉是什么。罪恶感？负罪感？真正应该有负罪感的人不是我，而是他们。这一切都是谎言，所有我们认知的事实都是虚构的。不要相信你看见的、听见的任何东西。,no tanslation yet,
